time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20180117:2200;-0.84;75.45;0;0;0;229.9;2.41;272;100240
20180117:2300;-1.51;75.35;0;0;0;227.75;2.07;284;100280
20180118:0000;-1.47;72.4;0;0;0;227.2;1.66;277;100290
20180118:0100;-2.22;72.3;0;0;0;225.75;1.93;242;100300
20180118:0200;-2.58;72.3;0;0;0;227.75;2;250;100300
20180118:0300;-2.95;72.25;0;0;0;227.4;2.07;284;100310
20180118:0400;-3.04;72.25;0;0;0;229.15;2.14;303;100280
20180118:0500;-3.16;75.2;0;0;0;230.3;1.86;306;100250
20180118:0600;-2.8;75.2;0;0;0;227.95;1.45;300;100270
20180118:0700;-0.4;69.75;0;0;0;230.3;0.76;323;100300
20180118:0800;0.44;67.2;137;591.02;39;233.95;0.48;297;100330
20180118:0900;2.11;78.95;265;731.07;58;234.75;0.41;301;100320
20180118:1000;5.39;60.65;360;810.16;65;244.4;0.62;313;100310
20180118:1100;7.41;54.4;397;781.18;82;258.95;0.97;310;100270
20180118:1200;8.8;48.65;384;731.49;93;261.65;1.59;308;100170
20180118:1300;9.45;43.55;342;806.94;61;261.65;1.86;309;100100
20180118:1400;9.39;46.95;229;639.89;64;262.05;1.66;301;100030
20180118:1500;8.5;54.65;100;496.76;34;261.05;1.59;282;100000
20180118:1600;6.66;58.65;0;0;0;259.3;2.14;283;99960
20180118:1700;4.37;67.9;0;0;0;256.05;2.28;292;99960
20180118:1800;3.05;70.4;0;0;0;267.65;2.14;296;99940
20180118:1900;1.59;82;0;0;0;250.05;2;306;99860
20180118:2000;0.74;85.15;0;0;0;251.95;2.07;311;99860
20180118:2100;0.28;85.1;0;0;0;252.55;1.86;300;99810
20180118:2200;-0.38;85.05;0;0;0;248.3;1.86;288;99800
20180118:2300;-0.74;88.4;0;0;0;250.4;1.79;281;99750
20180119:0000;-1.29;88.35;0;0;0;248.85;1.86;279;99710
20180119:0100;-1.55;88.35;0;0;0;248.2;1.79;275;99630
20180119:0200;-1.85;91.85;0;0;0;246.55;1.79;271;99600
20180119:0300;-2.08;91.85;0;0;0;244.05;1.72;261;99550
20180119:0400;-2.07;91.85;0;0;0;247.7;1.79;253;99490
20180119:0500;-2.25;88.3;0;0;0;242.1;1.86;255;99470
20180119:0600;-2.13;91.85;0;0;0;247.15;1.93;254;99490
20180119:0700;-2.07;91.85;0;0;0;246.15;1.66;266;99530
20180119:0800;-0.82;91.95;124;392.66;58;252.35;1.52;247;99550
20180119:0900;3.35;82.2;268;734.92;58;258.15;1.79;248;99580
20180119:1000;6.38;70.95;364;811.89;66;251.75;2.28;252;99600
20180119:1100;8.44;66.15;403;799.63;78;253.7;2.55;252;99600
20180119:1200;9.89;63.9;395;780.07;82;259.7;2.69;263;99560
20180119:1300;10.73;61.75;339;761.75;71;270.15;2.41;272;99540
20180119:1400;11.15;59.6;198;363.25;103;263.6;2;276;99570
20180119:1500;10.56;66.55;103;498.07;35;264.95;1.86;269;99610
20180119:1600;8.51;71.35;0;0;0;264.95;2.21;261;99670
20180119:1700;5.5;82.5;0;0;0;256.2;1.93;254;99720
20180119:1800;3.39;88.75;0;0;0;256.4;1.59;251;99780
20180119:1900;2.26;92.1;0;0;0;245.4;1.93;282;99760
20180119:2000;1.7;88.6;0;0;0;247.1;1.66;290;99810
20180119:2100;0.96;85.2;0;0;0;243.65;1.66;310;99880
20180119:2200;0.66;85.15;0;0;0;243.05;1.72;336;99930
20180119:2300;0.1;85.1;0;0;0;240.95;1.66;342;99970
20180120:0000;0.18;81.8;0;0;0;237.65;1.45;334;99970
20180120:0100;-0.51;81.75;0;0;0;241.8;1.45;315;99980
20180120:0200;-0.48;81.75;0;0;0;241.5;1.31;306;100010
20180120:0300;-0.66;81.7;0;0;0;233.75;1.31;273;100010
20180120:0400;-2.38;84.85;0;0;0;233;1.66;264;100030
20180120:0500;-2.62;84.85;0;0;0;231.25;1.52;270;100050
20180120:0600;-1.94;88.3;0;0;0;229.3;1.1;267;100060
20180120:0700;-2.67;81.55;0;0;0;226.2;1.52;248;100100
20180120:0800;-1.03;85;122;346.12;63;228.35;0.9;223;100100
20180120:0900;1.13;85.2;235;443.75;107;234.55;0.69;220;100120
20180120:1000;3.6;73.3;342;635.02;107;247.7;0.55;194;100140
20180120:1100;5.36;65.55;323;344.12;182;262.4;0.76;152;100110
20180120:1200;6.59;58.65;367;575.64;134;261.05;1.1;112;99980
20180120:1300;7.36;58.8;366;897.34;47;257.4;1.66;100;99840
20180120:1400;7.6;58.9;193;305.34;112;270.75;1.86;97;99770
20180120:1500;7.06;65.95;60;49.91;53;279.65;1.72;99;99680
20180120:1600;5.95;70.95;0;0;0;293;1.52;100;99620
20180120:1700;4.2;85.5;0;0;0;274.8;1.24;67;99610
20180120:1800;3.16;88.7;0;0;0;280.2;1.38;44;99560
20180120:1900;2.02;92.1;0;0;0;263.2;1.79;67;99490
20180120:2000;1.66;95.65;0;0;0;266.1;1.79;59;99440
20180120:2100;1.27;95.65;0;0;0;276.35;1.79;75;99290
20180120:2200;0.87;95.65;0;0;0;275.95;1.79;48;99180
20180120:2300;1.15;95.65;0;0;0;291.05;2.28;9;99160
20180121:0000;1.46;95.65;0;0;0;297.85;2.07;354;99120
20180121:0100;1.1;95.65;0;0;0;282.85;2.07;322;99100
20180121:0200;1.12;95.65;0;0;0;290.1;2.14;325;99090
20180121:0300;0.7;92;0;0;0;276.75;2;310;99080
20180121:0400;-0.03;92;0;0;0;264.35;2;279;99090
20180121:0500;-0.53;91.95;0;0;0;257.2;2.21;269;99120
20180121:0600;-1.07;91.95;0;0;0;247.9;2.14;261;99160
20180121:0700;-0.89;95.6;0;0;0;251.2;2.62;258;99280
20180121:0800;0.21;95.6;141;572.42;42;254.5;2.83;249;99290
20180121:0900;2.26;88.65;273;741.59;57;254.3;3.1;250;99360
20180121:1000;4.78;79.3;368;806.56;67;260.3;3.17;251;99440
20180121:1100;7.47;66.05;410;808.45;76;258.15;3.31;246;99450
20180121:1200;9.56;61.55;400;773.79;84;259.7;3.66;241;99460
20180121:1300;10.65;57.3;349;782.18;68;265.9;3.79;236;99440
20180121:1400;11.1;57.4;244;691.21;58;261.65;3.38;244;99540
20180121:1500;10.48;61.75;111;527.58;35;260.5;2.76;246;99630
20180121:1600;8.48;68.7;0;0;0;258.75;2.69;248;99760
20180121:1700;6.29;76.55;0;0;0;255.45;2.62;256;99860
20180121:1800;4.6;82.35;0;0;0;253.1;2.41;272;99940
20180121:1900;4.65;73.45;0;0;0;260.65;2.62;318;99930
20180121:2000;4.22;67.9;0;0;0;281.2;2.55;336;100020
20180121:2100;4.16;65.3;0;0;0;295.3;2.21;8;100090
20180121:2200;3.37;73.2;0;0;0;288.95;2.21;42;100200
20180121:2300;3.07;76.1;0;0;0;289.7;2.34;53;100280
20180122:0000;2.56;85.35;0;0;0;274.05;2.48;58;100320
20180122:0100;2.5;88.65;0;0;0;277.6;2.55;57;100340
20180122:0200;2.95;85.4;0;0;0;294.15;2.55;59;100330
20180122:0300;3.15;85.4;0;0;0;294.95;2.48;50;100340
20180122:0400;3.73;76.15;0;0;0;314.3;2.34;45;100370
20180122:0500;3.73;73.3;0;0;0;312.75;2;44;100400
20180122:0600;2.95;76.1;0;0;0;288.55;2;33;100410
20180122:0700;2.31;75.95;3;0;3;285.65;1.86;12;100340
20180122:0800;2.63;79;145;592.44;41;278.3;1.59;15;100360
20180122:0900;5.22;76.4;275;741.03;57;263.2;0.69;10;100400
20180122:1000;7.58;56.7;370;810.28;65;263.4;0.62;39;100400
20180122:1100;8.45;50.6;371;561.66;137;274.2;0.55;58;100360
20180122:1200;8.99;50.7;359;524.17;143;287;0.97;68;100280
20180122:1300;9.28;52.7;336;680.28;89;269.6;0.62;49;100220
20180122:1400;9.03;52.7;245;674.04;61;281.4;0.69;76;100150
20180122:1500;8.78;56.8;115;540.86;35;280.8;0.69;84;100090
20180122:1600;7.62;63.6;0;0;0;267.25;1.24;8;100130
20180122:1700;6.08;70.95;0;0;0;271.1;1.03;358;100150
20180122:1800;4.45;76.3;0;0;0;276.55;1.45;348;100200
20180122:1900;3.83;76.15;0;0;0;262.6;1.38;341;100120
20180122:2000;3.08;79.1;0;0;0;256.4;1.45;331;100140
20180122:2100;2.7;82.15;0;0;0;256.4;1.31;323;100160
20180122:2200;1.84;85.25;0;0;0;255.05;1.31;297;100210
20180122:2300;0.4;88.5;0;0;0;256.2;1.59;270;100250
20180123:0000;-0.09;92;0;0;0;254.65;1.52;273;100340
20180123:0100;-0.04;92;0;0;0;252.85;1.38;258;100390
20180123:0200;-0.33;91.95;0;0;0;250.6;1.38;249;100460
20180123:0300;-0.6;91.95;0;0;0;245.6;1.38;242;100480
20180123:0400;-1.35;91.9;0;0;0;243.05;1.45;260;100500
20180123:0500;-1.92;91.85;0;0;0;243.85;1.66;266;100550
20180123:0600;-2.11;91.85;0;0;0;241.9;1.79;247;100570
20180123:0700;-2.15;91.85;5;0;5;239.95;1.38;244;100690
20180123:0800;-0.56;91.95;149;605.89;41;240.75;0.83;255;100780
20180123:0900;2.71;82.15;281;750.31;58;245.2;0.55;221;100850
20180123:1000;5.69;70.85;381;840.06;62;249.85;0.97;177;100920
20180123:1100;8.07;61.3;438;913.84;54;255.45;1.45;156;100950
20180123:1200;9.66;59.25;421;851.25;67;262.6;2.07;142;100950
20180123:1300;10.4;59.35;320;536.8;123;267.05;2.48;133;100980
20180123:1400;10.33;59.35;224;454.98;98;270.75;2.55;116;101060
20180123:1500;9.53;63.9;113;447.87;45;269.75;2.28;93;101140
20180123:1600;7.61;68.6;0;0;0;264.35;2.62;83;101240
20180123:1700;5.85;76.5;0;0;0;261.25;2.83;83;101350
20180123:1800;4.83;82.35;0;0;0;257.95;2.76;80;101440
20180123:1900;4.51;82.35;0;0;0;256.05;2.9;77;101490
20180123:2000;3.96;85.5;0;0;0;256.4;2.62;74;101580
20180123:2100;3.25;92.15;0;0;0;255.65;2.41;67;101610
20180123:2200;2.45;92.15;0;0;0;254.3;2.21;66;101670
20180123:2300;1.91;95.65;0;0;0;253.1;2.07;59;101710
20180124:0000;1.56;95.65;0;0;0;255.05;1.93;36;101740
20180124:0100;1.01;95.65;0;0;0;251.9;1.79;10;101730
20180124:0200;1.04;99.35;0;0;0;254.65;1.38;334;101740
20180124:0300;0.04;99.4;0;0;0;251.6;1.38;276;101740
20180124:0400;-1.22;100;0;0;0;252.75;1.72;252;101730
20180124:0500;-1.4;100;0;0;0;259.7;1.66;248;101730
20180124:0600;-1.08;99.4;0;0;0;273.05;1.59;250;101740
20180124:0700;-0.1;99.4;5;0;5;289.9;1.17;298;101880
20180124:0800;0.78;100;147;557.83;46;283.5;0.9;286;101920
20180124:0900;3.47;92.15;281;732.51;61;288.75;0.76;251;101930
20180124:1000;5.74;85.65;374;785.58;73;285.25;0.97;237;101940
20180124:1100;7.71;76.8;425;835.15;71;287.95;1.03;242;101910
20180124:1200;8.68;74.05;429;879.15;60;276.15;0.76;249;101850
20180124:1300;9.19;71.4;366;819.46;62;275.2;0.62;253;101760
20180124:1400;9.35;71.4;253;672.7;64;289.3;0.55;244;101730
20180124:1500;9.24;71.4;119;487.8;43;276.35;0.62;230;101700
20180124:1600;8.48;74.05;0;0;0;277.9;0.97;231;101690
20180124:1700;6.43;82.6;0;0;0;277.1;1.1;240;101710
20180124:1800;5.54;85.65;0;0;0;269.4;1.1;238;101720
20180124:1900;2.84;92.15;0;0;0;261.65;1.52;288;101790
20180124:2000;2.46;92.15;0;0;0;258.15;1.31;287;101770
20180124:2100;2.07;95.65;0;0;0;258.35;1.17;283;101720
20180124:2200;1.59;99.4;0;0;0;266.85;1.17;264;101710
20180124:2300;0.73;99.4;0;0;0;269.75;1.38;254;101680
20180125:0000;0.41;99.4;0;0;0;273.05;1.45;253;101640
20180125:0100;0.73;99.4;0;0;0;287.7;1.24;262;101600
20180125:0200;0.85;100;0;0;0;292.6;1.17;281;101560
20180125:0300;1.34;100;0;0;0;308.85;0.97;291;101510
20180125:0400;1.43;99.4;0;0;0;304.8;0.9;284;101460
20180125:0500;1.76;99.4;0;0;0;311.95;0.69;264;101420
20180125:0600;1.79;99.4;0;0;0;307.1;0.76;245;101420
20180125:0700;3.58;88.75;1;0;1;328.05;0.76;265;101430
20180125:0800;4.16;88.8;14;0;14;334.4;0.62;253;101450
20180125:0900;5.49;82.5;31;0;31;334.8;0.48;248;101430
20180125:1000;6.33;82.55;47;0;47;335.4;0.28;248;101410
20180125:1100;7.21;76.7;58;0;58;338.85;0.14;187;101360
20180125:1200;7.31;76.7;101;0;101;338.65;0.28;180;101280
20180125:1300;7.53;73.95;52;0;52;341;0.21;186;101180
20180125:1400;7.73;76.8;47;0;47;344.3;0.07;190;101160
20180125:1500;7.45;76.8;23;0;23;344.65;0.14;356;101110
20180125:1600;6.98;85.8;0;0;0;342.55;0.41;22;101100
20180125:1700;6.4;88.95;0;0;0;340.4;1.17;38;101090
20180125:1800;6.21;88.95;0;0;0;339.05;1.52;47;101100
20180125:1900;5.77;88.9;0;0;0;334.05;1.24;113;101110
20180125:2000;5.58;92.3;0;0;0;334.8;1.31;110;101060
20180125:2100;5.43;92.3;0;0;0;333.25;1.38;92;101030
20180125:2200;5.43;92.3;0;0;0;335;1.45;78;101020
20180125:2300;5.38;95.75;0;0;0;334;1.45;71;100990
20180126:0000;5.4;92.3;0;0;0;335.2;1.52;70;100960
20180126:0100;5.32;95.75;0;0;0;331.6;1.52;74;100910
20180126:0200;5.46;92.3;0;0;0;338.3;1.59;82;100870
20180126:0300;5.52;92.3;0;0;0;340;1.45;90;100850
20180126:0400;5.52;92.3;0;0;0;339.65;1.45;93;100820
20180126:0500;5.53;92.3;0;0;0;339.85;1.52;94;100800
20180126:0600;5.5;92.3;0;0;0;339.05;1.59;97;100800
20180126:0700;5.11;95.75;3;0;3;336.15;0.48;132;100880
20180126:0800;5.38;95.75;32;0;32;337.3;0.34;79;100890
20180126:0900;5.83;95.75;228;329.11;127;330.15;0.69;55;100910
20180126:1000;6.33;92.3;54;0;54;331.3;1.1;66;100920
20180126:1100;7.07;89;41;0;41;334.2;2.21;79;100900
20180126:1200;7.41;89;61;0;61;340.2;2.34;85;100860
20180126:1300;7.79;89.05;136;5.27;134;340;2.41;90;100840
20180126:1400;8.3;85.9;52;0;52;328;2.34;88;100850
20180126:1500;8.18;89.1;24;0;24;340.2;1.72;68;100860
20180126:1600;7.67;92.4;0;0;0;326.3;2.07;58;100890
20180126:1700;7.58;92.4;0;0;0;338.65;2.28;61;100910
20180126:1800;7.47;89.05;0;0;0;334.2;2.14;78;100940
20180126:1900;6.22;92.3;0;0;0;318.95;1.66;48;101090
20180126:2000;5.95;92.3;0;0;0;320.3;1.59;45;101120
20180126:2100;5.75;95.75;0;0;0;329;1.1;46;101160
20180126:2200;5.82;95.75;0;0;0;334.2;1.38;40;101210
20180126:2300;5.93;92.3;0;0;0;336.75;1.52;35;101260
20180127:0000;6.03;92.3;0;0;0;337.1;1.72;35;101270
20180127:0100;6.05;92.3;0;0;0;338.6;1.24;35;101270
20180127:0200;6.07;92.3;0;0;0;335.75;0.76;19;101310
20180127:0300;5.99;92.3;0;0;0;339.85;0.83;346;101340
20180127:0400;5.8;95.75;0;0;0;335.2;0.83;335;101360
20180127:0500;5.77;95.75;0;0;0;331.7;0.69;333;101420
20180127:0600;6.03;92.3;0;0;0;339.85;0.55;308;101470
20180127:0700;5.4;92.3;3;0;3;325.9;1.24;273;101580
20180127:0800;6.19;92.3;68;15.78;65;332.1;1.38;249;101660
20180127:0900;7.31;89;85;0;85;332.3;1.79;254;101720
20180127:1000;8.5;85.9;205;63.45;180;326.5;2.14;253;101770
20180127:1100;9.09;82.85;102;0;102;336.35;2.48;244;101810
20180127:1200;9.52;79.9;314;268.65;198;328.2;2.83;237;101790
20180127:1300;9.95;77.1;359;709.56;87;310.2;3.03;231;101770
20180127:1400;10.09;77.1;268;715.79;58;303.85;3.03;229;101770
20180127:1500;10.04;77.1;128;493.92;45;288.95;2.62;230;101800
20180127:1600;8.82;82.75;0;0;0;275.4;2.21;224;101840
20180127:1700;7.3;85.8;0;0;0;277.3;2.28;233;101920
20180127:1800;6.15;88.95;0;0;0;273.05;2.14;238;101960
20180127:1900;5.44;92.3;0;0;0;272.85;2;252;101980
20180127:2000;4.43;92.25;0;0;0;269;1.79;266;102030
20180127:2100;3.68;95.7;0;0;0;268.05;1.66;254;102040
20180127:2200;2.92;95.7;0;0;0;266.1;1.59;245;102050
20180127:2300;2.42;95.7;0;0;0;264.15;1.45;251;102070
20180128:0000;2.39;95.7;0;0;0;263.2;1.31;258;102070
20180128:0100;2.21;99.4;0;0;0;261.55;1.17;276;102050
20180128:0200;2.06;95.65;0;0;0;262.8;1.1;292;102070
20180128:0300;1.91;95.65;0;0;0;266.5;0.97;303;102070
20180128:0400;1.89;95.65;0;0;0;264.35;0.83;289;102080
20180128:0500;0.85;100;0;0;0;278.85;0.83;262;102110
20180128:0600;0.43;99.4;0;0;0;284.3;0.83;266;102140
20180128:0700;1.09;100;9;0;9;300.55;1.31;253;102200
20180128:0800;2.54;95.7;122;217.24;80;304.2;1.31;249;102250
20180128:0900;3.97;95.75;185;124.27;146;295.5;1.24;246;102270
20180128:1000;5.79;92.3;235;110.62;191;300.15;1.03;237;102290
20180128:1100;7.56;85.85;374;471.07;167;320.1;1.03;234;102270
20180128:1200;8.85;85.9;394;584.93;139;302.3;0.97;230;102220
20180128:1300;9.97;79.95;363;686.29;97;281.6;0.76;226;102120
20180128:1400;10.79;77.15;276;725.72;60;274.6;0.62;220;102080
20180128:1500;10.77;77.15;140;580.65;40;275.4;0.62;212;102070
20180128:1600;9.95;79.95;0;0;0;273.45;1.03;201;102060
20180128:1700;7.83;92.4;0;0;0;269.6;0.97;209;102100
20180128:1800;7.46;89.05;0;0;0;267.85;0.76;210;102120
20180128:1900;4.74;95.75;0;0;0;264.95;1.45;301;102090
20180128:2000;4.67;95.75;0;0;0;263.4;1.1;292;102120
20180128:2100;4.19;99.4;0;0;0;262.05;0.97;259;102130
20180128:2200;2.3;99.4;0;0;0;283.3;0.9;228;102150
20180128:2300;1.86;95.65;0;0;0;305;0.83;231;102110
20180129:0000;2.05;99.4;0;0;0;311.95;0.83;241;102120
20180129:0100;2.05;95.65;0;0;0;302.2;1.03;246;102090
20180129:0200;2.27;99.4;0;0;0;308.3;1.17;247;102070
20180129:0300;2.65;99.4;0;0;0;311.55;1.24;248;102050
20180129:0400;2.78;99.4;0;0;0;306.75;1.31;252;102010
20180129:0500;2.93;95.7;0;0;0;308.85;1.31;252;101980
20180129:0600;3.29;99.4;0;0;0;316.8;1.31;248;101980
20180129:0700;3.15;95.7;7;0;7;309.65;1.38;235;102030
20180129:0800;4.25;99.4;136;310.18;75;312.95;1.45;239;102030
20180129:0900;5.83;95.75;233;305.56;136;325.1;1.72;248;102040
20180129:1000;6.91;95.8;323;395.86;164;326.1;1.66;248;102030
20180129:1100;7.98;89.1;377;468.98;169;328.2;1.52;244;101990
20180129:1200;9.31;89.1;336;315.77;197;317.2;1.45;240;101930
20180129:1300;10.44;86;330;472.06;145;307.9;1.45;240;101800
20180129:1400;11.14;80.1;253;510.03;99;282.95;1.31;243;101760
20180129:1500;11.28;80.1;115;260.7;69;293.2;1.03;250;101700
20180129:1600;10.6;83;0;0;0;281.95;0.62;275;101690
20180129:1700;8.17;92.4;0;0;0;273.85;1.38;311;101660
20180129:1800;6.02;95.8;0;0;0;270.75;2.07;320;101660
20180129:1900;4.88;95.75;0;0;0;276.15;1.93;316;101670
20180129:2000;3.84;99.4;0;0;0;270.35;2;304;101650
20180129:2100;3.12;95.7;0;0;0;264.35;2.14;295;101640
20180129:2200;2.83;99.4;0;0;0;263.75;2.28;288;101620
20180129:2300;2.69;99.4;0;0;0;275.4;2.14;287;101580
20180130:0000;2.63;99.4;0;0;0;284.1;1.93;293;101540
20180130:0100;2.47;95.7;0;0;0;278.2;2;297;101490
20180130:0200;2.87;99.4;0;0;0;293.6;2;296;101470
20180130:0300;2.56;99.4;0;0;0;278.85;2;293;101440
20180130:0400;2.69;99.4;0;0;0;290.85;1.86;290;101400
20180130:0500;2.42;95.7;0;0;0;284.65;1.86;300;101420
20180130:0600;2.67;99.4;0;0;0;301.3;1.66;308;101440
20180130:0700;3.16;99.4;11;0;11;316.2;1.52;285;101510
20180130:0800;4.25;99.4;143;329.87;77;308.5;1.52;286;101530
20180130:0900;5.71;95.75;253;389.21;128;317.95;1.38;288;101560
20180130:1000;7.06;89;261;157.78;197;321.05;1.03;279;101580
20180130:1100;8.18;85.9;283;140.72;220;318.35;0.83;264;101560
20180130:1200;9.38;85.95;188;15.75;181;322.05;0.69;250;101530
20180130:1300;10.04;79.95;222;85.8;188;317.4;0.48;230;101470
20180130:1400;10.32;77.1;128;19.59;122;321.65;0.48;183;101470
20180130:1500;10.22;77.1;67;16.6;64;297.65;0.62;129;101450
20180130:1600;9.43;85.95;0;0;0;292.05;1.45;86;101470
20180130:1700;7.64;89.05;0;0;0;283.9;1.86;82;101500
20180130:1800;6.87;92.35;0;0;0;311.95;1.66;86;101520
20180130:1900;7.04;92.35;0;0;0;327.65;1.59;50;101510
20180130:2000;6.6;95.8;0;0;0;321.85;1.59;64;101530
20180130:2100;6.15;95.8;0;0;0;318.35;1.52;86;101520
20180130:2200;5.3;99.4;0;0;0;300.35;1.38;110;101480
20180130:2300;5.03;95.75;0;0;0;297.25;1.1;141;101450
20180131:0000;5.31;99.4;0;0;0;309.65;0.69;157;101400
20180131:0100;5.53;95.75;0;0;0;315.15;0.21;159;101350
20180131:0200;5.38;99.4;0;0;0;302.5;0.48;58;101290
20180131:0300;4.33;99.4;0;0;0;302.65;0.97;66;101230
20180131:0400;3.76;99.4;0;0;0;305.2;1.17;73;101170
20180131:0500;3.94;95.75;0;0;0;316.4;0.97;82;101160
20180131:0600;4.05;95.75;0;0;0;321.85;0.83;89;101150
20180131:0700;3.72;99.4;6;0;6;317.2;0.14;28;101130
20180131:0800;4.18;95.75;71;9.82;69;318.55;0.07;53;101130
20180131:0900;5.17;95.75;81;0;81;324.55;0.21;78;101100
20180131:1000;5.82;95.75;157;7.32;154;330.35;0.41;88;101060
20180131:1100;7.01;89;88;0;88;324.75;0.76;84;101000
20180131:1200;7.81;85.85;104;0;104;325.9;0.9;94;100900
20180131:1300;7.93;82.75;77;0;77;337.5;1.03;106;100800
20180131:1400;8.15;82.75;65;0;65;340.6;1.17;120;100740
20180131:1500;7.95;82.75;60;5.4;59;345.25;1.17;131;100670
20180131:1600;7.77;98.48;1;0;1;352.38;0.92;137;100610
20180131:1700;7.17;95.63;0;0;0;344.14;1.11;124;100540
20180131:1800;6.56;92.77;0;0;0;335.9;1.29;106;100480
20180131:1900;5.95;89.92;0;0;0;327.67;1.48;88;100460
20180131:2000;5.34;87.07;0;0;0;319.43;1.66;80;100390
20180131:2100;4.73;84.22;0;0;0;311.19;1.85;87;100290
20180131:2200;4.12;81.36;0;0;0;302.96;2.03;94;100210
20180131:2300;3.51;78.51;0;0;0;294.72;2.22;96;100100
20050201:0000;2.9;75.66;0;0;0;286.48;2.4;268;100170
20050201:0100;2.29;72.81;0;0;0;278.25;2.59;268;100120
20050201:0200;1.68;69.95;0;0;0;270.01;2.77;268;100100
20050201:0300;1.08;67.1;0;0;0;261.77;2.96;267;100020
20050201:0400;0.47;64.25;0;0;0;253.54;3.14;263;99960
20050201:0500;-0.14;61.4;0;0;0;245.3;3.33;261;99930
20050201:0600;-0.75;58.54;0;0;0;237.06;3.52;260;99930
20050201:0700;-1.36;55.69;0;0;0;228.83;3.7;264;99900
20050201:0800;1.29;62.25;135;444;43;245.6;2.55;258;99890
20050201:0900;4.75;55.95;277;626.42;71;247.15;2.34;259;99940
20050201:1000;8.07;52.45;384;700.84;94;256.4;2.28;282;99950
20050201:1100;10.48;49.2;450;762.75;102;253.5;2.48;327;99950
20050201:1200;12.31;39.5;458;763.28;112;256.05;4.07;357;99950
20050201:1300;12.37;28.85;401;673.76;128;251.6;5.86;2;99980
20050201:1400;11.5;28.6;323;720.25;96;247.3;6;359;100070
20050201:1500;10.26;28.3;202;744.55;61;242.3;5.72;359;100150
20050201:1600;8.49;28.95;28;0;28;236.1;4.9;359;100280
20050201:1700;6.56;29.6;0;0;0;230.3;4.28;359;100430
20050201:1800;5.08;33.05;0;0;0;226.6;3.72;358;100550
20050201:1900;4.92;31.7;0;0;0;229.5;4.28;360;100580
20050201:2000;4.17;32.9;0;0;0;225.45;4;359;100670
20050201:2100;3.38;35.45;0;0;0;228.15;3.52;357;100760
20050201:2200;2.21;38.25;0;0;0;225.85;3.1;349;100800
20050201:2300;1.22;39.75;0;0;0;225.05;3.03;343;100870
20050202:0000;0.48;42.9;0;0;0;222.55;3.1;340;100900
20050202:0100;-0.33;44.6;0;0;0;217.25;3.03;336;100930
20050202:0200;-1.13;50.2;0;0;0;215.6;2.69;330;100960
20050202:0300;-1.79;54.4;0;0;0;214.4;2.34;324;100950
20050202:0400;-2.25;56.6;0;0;0;214.6;2.07;322;100940
20050202:0500;-2.13;54.3;0;0;0;214.2;1.86;314;100940
20050202:0600;-1.74;54.4;0;0;0;215.6;1.66;285;100950
20050202:0700;-2.91;61.35;0;0;0;217.9;2.14;262;100970
20050202:0800;-1;64.25;134;407.75;48;222.55;1.66;254;101000
20050202:0900;3.15;53.4;283;639.97;70;223.3;1.59;252;101010
20050202:1000;5.6;46;391;720.1;90;228.35;1.59;259;101020
20050202:1100;7.08;42.85;458;781.54;98;233.75;1.59;262;100990
20050202:1200;8.14;38.4;464;766.7;113;240.55;1.72;265;100940
20050202:1300;8.86;37.05;418;741.96;114;241.9;1.93;269;100860
20050202:1400;9.2;35.75;331;738.27;95;244.6;1.93;261;100860
20050202:1500;8.82;41.7;210;774.14;60;245.6;2;242;100850
20050202:1600;6.84;48.25;62;936.07;24;245.75;2.69;235;100840
20050202:1700;4.67;51.7;0;0;0;245.95;3.03;245;100820
20050202:1800;3.28;53.4;0;0;0;241.3;3.03;255;100800
20050202:1900;3.29;55.55;0;0;0;240.95;3.1;266;100710
20050202:2000;2.34;59.95;0;0;0;240.35;3.03;270;100720
20050202:2100;1.32;62.25;0;0;0;237.25;2.9;276;100740
20050202:2200;0.35;67.2;0;0;0;234.55;2.76;284;100730
20050202:2300;-0.36;67.1;0;0;0;231.45;2.69;289;100730
20050203:0000;-0.53;69.75;0;0;0;233;2.76;292;100740
20050203:0100;-0.68;67;0;0;0;229.6;2.69;295;100720
20050203:0200;-0.99;69.65;0;0;0;226.05;2.62;288;100740
20050203:0300;-1.42;69.65;0;0;0;226.2;2.55;274;100730
20050203:0400;-1.82;72.4;0;0;0;226.2;2.62;265;100700
20050203:0500;-1.95;72.4;0;0;0;227;2.62;262;100720
20050203:0600;-2.05;75.3;0;0;0;225.65;2.62;262;100730
20050203:0700;-0.53;64.35;0;0;0;233.2;2.76;286;100710
20050203:0800;1.02;64.65;139;423.82;48;230.3;2.28;280;100740
20050203:0900;5.83;56.2;289;653.03;69;233.6;1.79;277;100780
20050203:1000;8.9;46.95;399;736.47;88;238.4;1.79;286;100800
20050203:1100;10.45;43.8;456;741.81;111;244.6;1.38;307;100830
20050203:1200;11.54;40.8;483;841.33;94;250.05;1.1;344;100830
20050203:1300;12.12;37.9;436;823.05;95;254.3;0.83;24;100810
20050203:1400;12.27;35.15;338;755.69;93;255.25;0.55;70;100820
20050203:1500;11.73;45.95;209;711.46;68;254.3;0.83;135;100850
20050203:1600;9.41;59.25;61;736.04;28;251;1.72;164;100890
20050203:1700;6.32;65.75;0;0;0;245.6;1.86;183;100930
